ds,yhat,yhat_lower,yhat_upper
2019-08-22,16455.968717585874,12718.002276943911,20657.359438665233
2019-08-23,15777.57995775267,11926.12531992312,19701.44656706733
2019-08-24,6466.8827807710895,2784.373502073367,10503.568122741672
2019-08-25,5366.160496954226,1421.3564518018459,9336.49785192209
2019-08-26,14596.98171178746,10681.117940835422,18828.647165764127
2019-08-27,16403.904915861123,12217.361058230093,20357.251268839
2019-08-28,16559.983977508135,12623.370980747826,20618.652991112736
2019-08-29,16378.611772073844,12588.459924402467,20633.173979632633
2019-08-30,15793.358316126847,11828.001485631714,19975.2636893955
2019-08-31,6562.891872105857,2684.5991408768805,10784.872940656749
2019-09-01,5527.25674619046,1472.6665583760064,9578.572320285897
2019-09-02,14806.14229316245,10583.252092173283,18852.381757671414
2019-09-03,16642.633042776426,12421.796923113387,20640.62564385139
2019-09-04,16808.75102409994,12700.819881690835,20660.075927250728
2019-09-05,16617.326639318708,12784.67129574519,20906.022645052813
2019-09-06,16001.853773134506,12131.399119623837,20197.073271032572
2019-09-07,6721.417138994219,2861.2925218843184,10635.341418336075
2019-09-08,5616.96535164882,1469.1109947719208,9454.53106174777
2019-09-09,14809.56424696653,10965.374915089898,19084.996989939493
2019-09-10,16544.120606519456,12476.342953419628,20615.765642436367
2019-09-11,16594.887851437492,12342.85095903292,20389.800796248233
2019-09-12,16277.290770326563,12457.466739418684,20126.9542963118
2019-09-13,15527.72589978611,11646.931533706173,19761.47408801587
2019-09-14,6108.426689981326,1981.2645031461495,10070.076992382163
2019-09-15,4863.668251931145,1081.0290453318175,8796.79211598778
2019-09-16,13917.947664533105,9808.023377832344,18004.809583928192
2019-09-17,15519.631574026223,11478.345153428185,19591.419956330712
2019-09-18,15446.384311394679,11809.669921842717,19595.603074957642
2019-09-19,15016.915302480753,11000.320917084951,19038.777196055198
2019-09-20,14170.704110974659,10182.287841117703,17979.027172016817
2019-09-21,4672.793942262744,669.0409638654618,8751.92991455723
2019-09-22,3369.9300353818962,-682.0667123498491,7208.664226911645
2019-09-23,12388.680450557371,8552.415067075832,16567.421120857693
2019-09-24,13979.032376682857,9917.61314824604,17997.505877944033
2019-09-25,13919.778406939318,9938.29730380703,17813.744248874384
2019-09-26,13530.23258057247,9409.084220446353,17277.495607371195
