ds,yhat,yhat_lower,yhat_upper
2019-11-22,19917.05205954663,15504.654054913812,24809.711232369707
2019-11-23,11742.205964671139,7331.879781283292,16234.718759767016
2019-11-24,10280.638442348325,5484.031032192334,14912.147867359723
2019-11-25,19174.39193975853,14660.069869968975,23563.474821106433
2019-11-26,21377.219947423004,16559.672011708954,25906.757813723438
2019-11-27,21521.4195209998,17148.876440711163,26094.438647780786
2019-11-28,21346.240264440457,16980.96772634181,25998.834197026943
2019-11-29,20606.941745812903,16078.16594203558,25162.5327551362
2019-11-30,12338.357214968159,7885.902363931698,17131.8568144525
2019-12-01,10754.782441119165,6352.463287214494,15374.911068508956
2019-12-02,19499.5789050558,14930.838595896974,24096.187598213237
2019-12-03,21528.42052216656,16733.031338122553,26302.886518851206
2019-12-04,21476.09206075084,16592.68716405852,26055.2012976535
2019-12-05,21084.8514247203,16606.099229344603,25581.58136630847
2019-12-06,20113.428756996334,15556.135863837448,24678.940088205713
2019-12-07,11600.521484660121,6778.882978550421,16203.976062724463
2019-12-08,9764.605616327279,5252.2755593681195,14654.30062547094
2019-12-09,18253.45422352603,13774.574492353178,23236.24021232742
2019-12-10,20027.294147897024,15614.664044271729,24826.0167946739
2019-12-11,19725.511087135517,15337.274365462832,24411.235937142206
2019-12-12,19094.91729650975,14728.607885079877,23702.581001513714
2019-12-13,17898.656959996613,13316.757377565433,22385.52316006823
2019-12-14,9179.61043161109,4531.621993649697,14149.088429649395
2019-12-15,7160.11967002626,2551.0996749039355,11992.475752579037
2019-12-16,15491.427697781002,11318.962801658647,20128.57796049958
2019-12-17,17136.764868019607,12134.310029917491,21587.36689530234
2019-12-18,16737.99363458123,11972.517543465126,21480.235611913504
2019-12-19,16043.82737141126,11293.53902526668,20733.576150970817
2019-12-20,14818.699339117496,10145.42233531771,19479.767325250123
2019-12-21,6106.143755363582,1325.116886188989,10462.58703986872
2019-12-22,4128.511742095561,-389.2092500342858,8800.753350490646
2019-12-23,12536.415116505363,7942.412335112608,16919.76382587245
2019-12-24,14291.830624866852,9906.146078006459,18491.097395484918
2019-12-25,14034.775821622175,9679.402496236034,18310.56611058475
2019-12-26,13511.571344601882,8981.171183914332,17852.404839552506
2019-12-27,12483.764611311351,7893.296651268816,17011.90995646422
2019-12-28,3991.575566672136,-523.4515623361729,8596.38122173465
2019-12-29,2253.6857091612474,-2377.150545008718,6843.394726875917
2019-12-30,10916.761633335813,6563.78068570277,15432.26606550083
2019-12-31,12938.64382007728,8368.850279599366,17408.45027752281
2020-01-01,12955.109912036312,8431.751300372493,17174.685668775102
2020-01-02,12708.225214940303,7907.90898538247,17028.402781808007
2020-01-03,11955.353437456279,7549.503469800569,16595.276736465094
2020-01-04,3732.686339399075,-757.4479574437729,8392.469588372947
2020-01-05,2255.111646158579,-2378.671919465411,7080.370500912014
2020-01-06,11165.808740242526,6322.363347225568,15926.915942639105
2020-01-07,13419.501310803302,8939.363138254617,17886.644003496494
2020-01-08,13649.274865114603,9151.894534471116,18568.010878852117
2020-01-09,13594.970751911345,9176.93706688875,18357.587676564675
2020-01-10,13012.228889299182,8332.123832099169,17955.347126613484
2020-01-11,4936.037329829189,374.7445507809926,9746.638389246948
2020-01-12,3580.6077827022054,-819.6922327739907,8245.876561092948
2020-01-13,12588.966660559054,8075.7073240360805,17327.80138864235
2020-01-14,14916.191184572372,10173.963038886004,19563.035164777
