ds,yhat,yhat_lower,yhat_upper
2019-07-01,11493.01142623664,9091.625788103858,13702.727013119162
2019-07-02,12476.205911672963,10089.514393245425,14967.474669995334
2019-07-03,12443.220519121416,10169.894995955752,14749.148616921166
2019-07-04,12282.85224850709,9816.87302499547,14460.779094157499
2019-07-05,12229.964899539715,9763.353533166113,14555.706773566459
2019-07-06,8680.812869524767,6173.0087471143315,11037.624472864516
2019-07-07,7236.710442923568,4672.64783901752,9467.489274874986
2019-07-08,11153.785669630957,8855.505032141304,13535.07378956997
2019-07-09,12191.508287331024,9846.243317164284,14514.206223557412
2019-07-10,12217.184170098033,9981.992770540443,14563.713165912457
2019-07-11,12118.45673474206,9731.847229079243,14500.322557520856
2019-07-12,12128.970361382471,9857.7368279687,14281.845227922013
2019-07-13,8643.720255193699,6503.215105350511,10911.544752556418
2019-07-14,7262.74838316055,4810.8883571361075,9541.104873732718
2019-07-15,11240.924000864235,8931.995751067861,13528.717055885665
2019-07-16,12336.497654434914,9710.563740880723,14723.99944849697
2019-07-17,12415.620593089085,10089.716333436501,14686.233026926664
2019-07-18,12364.869512351423,10039.257337899408,14708.103847446488
2019-07-19,12416.931217905907,10150.951261738575,14756.357691614563
2019-07-20,8965.971224929483,6680.225403129202,11390.602529012287
2019-07-21,7611.345575864476,5331.0608235719865,9953.648576642781
2019-07-22,11607.394108469021,9305.142903241622,14039.060098327427
2019-07-23,12712.003847300466,10305.635861959861,14885.369432650989
2019-07-24,12791.134316359776,10462.501790775861,15065.81309202954
2019-07-25,12731.344630036027,10398.046299305428,15110.693974138461
2019-07-26,12765.476963653557,10456.006535317514,15197.673369106547
2019-07-27,9288.020501450188,7052.968822452497,11626.331542086351
2019-07-28,7898.815296367547,5614.397939541934,10293.496830218959
2019-07-29,11852.834487741018,9479.850476409752,14258.32832368188
2019-07-30,12908.733821876893,10343.679956343574,15208.414504171802
2019-07-31,12933.360594607944,10588.38349705016,15258.762400198217
2019-08-01,12814.262237400875,10476.928095292476,15021.2572392516
2019-08-02,12785.349546171852,10460.059682116325,15134.617544224322
2019-08-03,9242.239074506339,6833.529627353287,11520.761326648995
2019-08-04,7785.934565662012,5377.5142839352775,10180.057901863049
2019-08-05,11672.586317827057,9353.59359022553,14003.708198360204
2019-08-06,12662.017874621142,10311.38404368284,15023.101102682203
2019-08-07,12622.21259846334,10254.092529092622,14969.610680757454
2019-08-08,12441.80076951707,10063.56046571211,14699.226131222309
2019-08-09,12355.702606752853,9976.685338245303,14841.797711348594
2019-08-10,8760.452099256021,6543.153746302038,11148.412153959764
2019-08-11,7257.8618524345975,4910.257936785748,9588.600466559
2019-08-12,11104.76813201029,8787.829150019652,13439.01639779288
2019-08-13,12061.545740876667,9664.008422407729,14441.955270651351
2019-08-14,11996.58548080795,9658.416298668077,14167.45185599799
2019-08-15,11798.774984354302,9486.431735959135,14227.934116181397
2019-08-16,11703.138403986673,9331.904991939919,14101.656417700613
2019-08-17,8106.159883295472,5741.991771368757,10416.052417739184
2019-08-18,6609.450998652009,4302.114779917811,8900.224552590451
2019-08-19,10469.501285529204,7996.932163709355,12879.401626523017
2019-08-20,11446.20136572835,9230.658846874512,13831.040091345001
2019-08-21,11407.331260039737,8938.470500164323,13739.184850301797
2019-08-22,11241.054459900026,8820.093684210895,13512.025453975823
2019-08-23,11181.572991382074,8743.489309851935,13525.922686204876
2019-08-24,7624.468106113416,5202.122589104992,9961.198249969826
2019-08-25,6170.386464520274,4043.0716105844754,8542.693761393331
2019-08-26,10074.810575957252,7795.932149576578,12467.268859066458
2019-08-27,11096.602640410705,8840.729140693136,13436.665151390847
2019-08-28,11102.51398948327,8635.080694991064,13564.401795334932
2019-08-29,10979.700303777872,8691.606716219098,13111.649564293917
2019-08-30,10961.397440881354,8662.268921405552,13167.002702408709
2019-08-31,7442.28211278223,4979.386049084542,9774.226053804043
2019-09-01,6022.176893455124,3666.728019933457,8277.573210578028
2019-09-02,9955.837949608655,7658.11124974578,12278.508513158653
2019-09-03,11001.514300227154,8663.558951810559,13275.942042581282
2019-09-04,11025.470481463652,8739.383351227605,13380.29692865751
2019-09-05,10914.512517456827,8593.54916449487,13254.63805780853
2019-09-06,10901.671792931127,8499.4534262243,13264.873711710641
2019-09-07,7381.570875197864,5088.759784049574,9691.632700815935
2019-09-08,5954.130625867672,3667.362152294803,8432.052036108877
2019-09-09,9874.356913714555,7470.669359925131,12153.32049009433
2019-09-10,10900.89570173083,8583.742112876356,13259.359402806793
2019-09-11,10900.548425030282,8481.112810636936,13086.685091158293
2019-09-12,10760.787652449377,8656.638865998231,13143.071394223678
2019-09-13,10715.427785275815,8501.194200509537,13072.234846608446
2019-09-14,7159.975057943228,4829.007420769719,9606.817523344278
2019-09-15,5695.316456194032,3329.232817127918,8204.972207589664
2019-09-16,9577.486193929599,7192.326671583659,12022.883357250877
2019-09-17,10566.198900975372,8169.162059407156,12980.671380318776
2019-09-18,10529.34186138537,8066.992754971448,12967.289568918834
2019-09-19,10355.466754573874,8085.830741344429,12715.573255048324
2019-09-20,10279.436140242815,7743.612072145576,12590.049203354423
2019-09-21,6697.74945882125,4348.160132109892,9032.277013550904
2019-09-22,5212.208678777341,2869.495961442797,7571.279185237237
2019-09-23,9079.662746755683,6855.24689040131,11451.849778518797
2019-09-24,10060.520494810356,7602.026936871097,12459.546465602416
2019-09-25,10023.224823266833,7813.648758795952,12392.725674343443
2019-09-26,9856.729055519052,7520.531378970987,12179.239664058101
2019-09-27,9796.131104474338,7336.599157554471,12137.407247733043
