ds,yhat,yhat_lower,yhat_upper
2019-07-01,2376.538027805702,192.673816103634,4247.498574228381
2019-07-02,2665.9383629375534,683.5777433485101,4496.303802881969
2019-07-03,2578.8086477358675,621.3255301334058,4466.4831627578715
2019-07-04,2323.4024043607506,608.6044390628222,4392.845086369786
2019-07-05,1976.4066127213002,-79.68340191052302,4133.441532750921
2019-07-06,-1231.826761340159,-3070.5618820924715,765.3106974437253
2019-07-07,-1292.2888848052503,-3341.500561563978,614.9025407210896
2019-07-08,1681.8825566405205,-154.00246034561854,3639.121492213088
2019-07-09,2109.7933788142645,192.0293132395388,4009.8251359442656
2019-07-10,2172.788559489357,206.1222202073557,4029.616978176827
2019-07-11,2076.693358791961,360.14842593586326,4076.1696648468865
2019-07-12,1895.5483648033594,-17.860651833990914,3865.957165133678
2019-07-13,-1143.1096730789313,-2962.908555780391,756.1339564385778
2019-07-14,-1033.202339127104,-2975.840713854786,889.3616118190381
2019-07-15,2109.143973054408,229.63666507920522,4103.451893310895
2019-07-16,2700.0471529159945,781.1891999802241,4567.464902913474
2019-07-17,2917.9250716512506,888.3521682411869,4954.735392085603
2019-07-18,2965.7964638716903,1116.9743698221578,4850.734143655174
2019-07-19,2915.07419229677,1031.3020006413628,4897.476178010958
2019-07-20,-9.098502080838443,-1989.3212844715486,1842.849743221408
2019-07-21,197.24889169171684,-1555.1091410142883,2036.4030349466952
2019-07-22,3416.2138679510067,1491.5223696786718,5368.519716773505
2019-07-23,4062.509907943951,2003.1100707479657,6049.525974338645
2019-07-24,4313.554844928237,2287.2440581622564,6137.713447915964
2019-07-25,4371.796338365975,2401.2523784552814,6263.39109262116
2019-07-26,4308.520987665944,2330.9883237194704,6274.244390784007
2019-07-27,1349.1971967865197,-406.5189663150541,3395.2282892902995
2019-07-28,1498.569148433323,-535.2561619397488,3389.7577946072915
2019-07-29,4639.943975725208,2788.938366872057,6629.5781142240785
2019-07-30,5189.658719623343,3094.797292405545,7064.9844287604965
2019-07-31,5327.137477307052,3555.1559792181265,7199.8438643260715
2019-08-01,5257.177034749145,3420.234088554574,7192.32064803446
2019-08-02,5053.708263002876,3027.079675401758,7179.954934731278
2019-08-03,1945.0843299947376,33.185526922527266,3734.430410257779
2019-08-04,1939.1142004975675,-77.13973040587851,3812.914638878651
2019-08-05,4922.284778084934,3088.0062722487382,6874.941391296389
2019-08-06,5314.159668541633,3466.3212114849694,7202.814955876319
2019-08-07,5297.366457512985,3366.9971688877117,7189.327580513516
2019-08-08,5079.812346243908,3222.251723838621,6971.42309385026
